sample	disposition	genbank_accession	biosample_acc
SRR11904659	Available	GCA_042081925.1	SAMN13181928
SRR11904694	Available	GCA_042081305.1	SAMN11405954
SRR11904801	Available	GCA_042079585.1	SAMN11179106
SRR11904851	Available	GCA_042075985.1	SAMN13323821
SRR12611651	Available	GCA_042108925.1	SAMN13513425
SRR12612355	Available	GCA_042073685.1	SAMN14544048
SRR12612721	Available	GCA_042072925.1	SAMN15970788
SRR12612749	Available	GCA_042072865.1	SAMN14828604
SRR12612828	Available	GCA_042072685.1	SAMN14733205
ERR1067732	Available	GCA_042043035.1	SAMEA3462987
ERR1067787	Available	GCA_042041955.1	SAMEA3463087
ERR1082202	Available	GCA_042041375.1	SAMEA3463135
ERR854888	Available	GCA_042038455.1	SAMEA3165226
ERR855234	Available	GCA_042030345.1	SAMEA3165586
SRR5235365	Available	GCA_042133965.1	SAMN05859808
ERR1082187	Available	GCA_042041635.1	SAMEA3463119
ERR1067856	Available	GCA_042040635.1	SAMEA3463002
ERR855074	Available	GCA_042034735.1	SAMEA3165411
ERR855112	Available	GCA_042032255.1	SAMEA3165461
ERR855119	Available	GCA_042032065.1	SAMEA3165468
ERR855236	Available	GCA_042030285.1	SAMEA3165588
ERR855246	Available	GCA_042029725.1	SAMEA3165598
ERR855249	Available	GCA_042029625.1	SAMEA3165601
ERR854984	Available	GCA_042028525.1	SAMEA3165271
ERR855024	Available	GCA_042027165.1	SAMEA3165365
